
============  19-07-25 14:40:04  ==============
07-25 14:40:05.959   219   489 D use-Rlog/RLOG-RILC_ATCI: > AT Command 'AT+VGR=6'. phoneId = 0.
07-25 14:40:07.459   600   600 D use-Rlog/RLOG-RIL-PHS: Phoneserver get modem type ro.radio.modemtype's value
07-25 14:40:07.459   600   600 D use-Rlog/RLOG-RIL-PHS: Current modem is l, sim num is 1
07-25 14:40:07.459   600   600 D use-Rlog/RLOG-RIL-PHS: cmux_Init: mux device is /dev/stty_lte
07-25 14:40:07.459   600   600 D use-Rlog/RLOG-RIL-PHS: CHNMNG: open mux: /dev/stty_lte0 fd=10
07-25 14:40:07.459   600   600 D use-Rlog/RLOG-RIL-PHS: CHNMNG: open mux: /dev/stty_lte1 fd=11
07-25 14:40:07.459   600   600 D use-Rlog/RLOG-RIL-PHS: CHNMNG: open mux: /dev/stty_lte2 fd=12
07-25 14:40:07.459   600   600 D use-Rlog/RLOG-RIL-PHS: CHNMNG: open mux: /dev/stty_lte3 fd=13
07-25 14:40:07.459   600   600 D use-Rlog/RLOG-RIL-PHS: CHNMNG: cmux_Init done
07-25 14:40:07.459   600   600 D use-Rlog/RLOG-RIL-PHS: CHNMNG:/dev/ptmx opened rett=0 ptn=0
07-25 14:40:07.459   600   600 D use-Rlog/RLOG-RIL-PHS: CHNMNG get pty OK mpty=14
07-25 14:40:07.469   600   600 D use-Rlog/RLOG-RIL-PHS: CHNMNG:/dev/ptmx opened rett=0 ptn=1
07-25 14:40:07.469   600   600 D use-Rlog/RLOG-RIL-PHS: CHNMNG get pty OK mpty=16
07-25 14:40:07.469   600   600 D use-Rlog/RLOG-RIL-PHS: CHNMNG:/dev/ptmx opened rett=0 ptn=2
07-25 14:40:07.469   600   600 D use-Rlog/RLOG-RIL-PHS: CHNMNG get pty OK mpty=18
07-25 14:40:07.469   600   603 D RIL-PHS : try to connect socket ext_data...
07-25 14:40:07.469   600   600 D use-Rlog/RLOG-RIL-PHS: CHNMNG:/dev/ptmx opened rett=0 ptn=3
07-25 14:40:07.469   600   600 D use-Rlog/RLOG-RIL-PHS: CHNMNG get pty OK mpty=20
07-25 14:40:07.469   600   605 D RIL-PHS : Rev TID [605]: mux = /dev/stty_lte1
07-25 14:40:07.469   600   607 D RIL-PHS : Rev TID [607]: mux = /dev/stty_lte3
07-25 14:40:07.469   600   606 D RIL-PHS : Rev TID [606]: mux = /dev/stty_lte2
07-25 14:40:07.469   600   604 D RIL-PHS : Rev TID [604]: mux = /dev/stty_lte0
07-25 14:40:07.479   600   603 D RIL-PHS : connect to ext_data socket success!
07-25 14:40:07.489   601   601 I use-Rlog/RLOG-RILD: [
07-25 14:40:07.509   601   601 D use-Rlog/RLOG-RILD: [0] Rild: rilArgv[1]=-n,rilArgv[2]=0,ModemType=l
07-25 14:40:07.519   601   601 D use-Rlog/RLOG-RIL: [0] rild connect l modem, current is rild0
07-25 14:40:07.519   601   601 D use-Rlog/RLOG-RIL: [0] RIL enter single sim card mode!
07-25 14:40:07.519   601   601 D use-Rlog/RLOG-RIL: [0] ssda mode: fdd-csfb
07-25 14:40:07.519   601   601 D use-Rlog/RLOG-RIL: [0] getTestMode
07-25 14:40:07.519   601   601 D use-Rlog/RLOG-RIL: [0] getTestModeInner subscription = 0
07-25 14:40:07.519   601   601 D use-Rlog/RLOG-RIL: [0] getTestModeInner: 6
07-25 14:40:07.519   601   601 D use-Rlog/RLOG-RIL: [0] allow_data init 1!
07-25 14:40:07.519   601   601 D use-Rlog/RLOG-RILC: [0] sprd_libril Compile date:Nov  3 2018,00:18:43 
07-25 14:40:07.519   601   601 D use-Rlog/RLOG-RILC: [0] it's l modem rild0 libril
07-25 14:40:07.519   601   601 E use-Rlog/RLOG-RILC: [0] RIL_register: RIL version 11
07-25 14:40:07.519   601   601 I use-Rlog/RLOG-RILC: [0] Ril.cpp: 3 CommandThread create
07-25 14:40:07.519   601   601 D use-Rlog/RLOG-RILC: [0] create call dispatch thread
07-25 14:40:07.519   601   601 D use-Rlog/RLOG-RILC: [0] Start to listen oem_socket1
07-25 14:40:07.519   601   601 D RILD    : RIL_register_ATCIServer started
07-25 14:40:07.519   601   601 D use-Rlog/RLOG-RILC: [0] atci_socket1 created
07-25 14:40:07.519   601   601 D RIL_ATCI_SOCKET: Adding socket with id: 0
07-25 14:40:07.519   601   601 D RILD    : RIL_register_socket completed
07-25 14:40:07.519   601   601 D RILD    : RIL_Init starting sleep loop
07-25 14:40:07.529   601   614 I use-Rlog/RLOG-RIL: [0] sprd_reference ril Compile date:Nov  3 2018,00:17:55 
07-25 14:40:07.529   601   614 D use-Rlog/RLOG-RIL: [0] ttyName: /dev/CHNPTY0
07-25 14:40:07.529   601   614 I use-Rlog/RLOG-RIL: [0] AT channel [0] open successfully, ttyName:/dev/CHNPTY0
07-25 14:40:07.529   601   614 D use-Rlog/RLOG-RIL: [0] ttyName: /dev/CHNPTY1
07-25 14:40:07.529   601   614 I use-Rlog/RLOG-RIL: [0] AT channel [1] open successfully, ttyName:/dev/CHNPTY1
07-25 14:40:07.529   601   614 D use-Rlog/RLOG-RIL: [0] ttyName: /dev/CHNPTY2
07-25 14:40:07.529   601   614 I use-Rlog/RLOG-RIL: [0] AT channel [2] open successfully, ttyName:/dev/CHNPTY2
07-25 14:40:07.529   601   614 D use-Rlog/RLOG-RIL: [0] ttyName: /dev/CHNPTY3
07-25 14:40:07.529   601   614 I use-Rlog/RLOG-RIL: [0] AT channel [3] open successfully, ttyName:/dev/CHNPTY3
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-RIL: [0] channel1 state: '0' 
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-RIL: [0] get Channel ID '1'
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RESPONSE_RADIO_STATE_CHANGED  {RADIO_OFF}
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RESPONSE_SIM_STATUS_CHANGED 
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> ATE0Q0V1
07-25 14:40:07.529   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.529   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> ATS0=0
07-25 14:40:07.529   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.529   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMEE=1
07-25 14:40:07.529   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.529   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CREG=2
07-25 14:40:07.529   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.529   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CEREG=2
07-25 14:40:07.529   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.529   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CCED=1,8
07-25 14:40:07.529   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.529   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CCWA=1
07-25 14:40:07.529   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.529   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMOD=0
07-25 14:40:07.529   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.529   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMUT=0
07-25 14:40:07.529   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.529   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CSSN=1,1
07-25 14:40:07.529   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.529   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+COLP=0
07-25 14:40:07.529   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.529   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CSCS="HEX"
07-25 14:40:07.529   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.529   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CUSD=1
07-25 14:40:07.529   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.529   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.529   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CGEREP=1,0
07-25 14:40:07.539   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.539   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.539   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMGF=0
07-25 14:40:07.539   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.539   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.539   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+VTD=1
07-25 14:40:07.539   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:40:07.539   601   618 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:40:07.539   601   613 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CRC=1
07-25 14:40:07.539   600   605 D RIL-PHS : /dev/stty_lte1 Rev:OK
