
============  19-07-25 14:30:26  ==============
07-25 14:30:28.029   221   221 I boot_progress_start: 3850
07-25 14:30:40.439   221   221 I boot_progress_preload_start: 16262
07-25 14:30:41.549   221   221 I boot_progress_preload_end: 17370
07-25 14:30:41.979   648   648 I boot_progress_system_run: 17800
07-25 14:30:42.109   648   648 I boot_progress_pms_start: 17933
07-25 14:30:42.179   648   648 I boot_progress_pms_system_scan_start: 18009
07-25 14:30:50.089   648   648 I boot_progress_pms_data_scan_start: 25911
07-25 14:30:50.569   648   648 I boot_progress_pms_scan_end: 26390
07-25 14:30:50.769   648   648 I boot_progress_pms_data_scan_start: 26593
07-25 14:30:50.769   648   648 I boot_progress_pms_ready: 26593
07-25 14:30:50.969   648   648 I dvm_lock_sample: [system_server,0,main,176,UserManagerService.java,289,PackageManagerService.java,1191,35]
07-25 14:30:51.319   648   702 I battery_status: [2,2,1,2,Li-ion]
07-25 14:30:51.319   648   702 I battery_level: [92,4123,329]
07-25 14:30:51.359   648   669 I screen_toggled: 1
07-25 14:30:51.359   648   648 I wm_stack_created: [0,-1,6,100]
07-25 14:30:51.399   648   648 I configuration_changed: 7672
07-25 14:30:51.419   648   648 I configuration_changed: 1032
07-25 14:30:55.579   648   702 I battery_level: [93,4123,329]
07-25 14:31:20.119   648   702 I battery_status: [3,2,1,0,Li-ion]
07-25 14:31:20.689   648   702 I battery_status: [2,2,1,2,Li-ion]
07-25 14:31:23.239   648   702 I battery_status: [3,2,1,0,Li-ion]
07-25 14:31:27.689   648   648 I backup_data_changed: com.android.providers.userdictionary
07-25 14:31:27.719   648   648 I backup_data_changed: com.android.sharedstoragebackup
07-25 14:31:27.719   648   648 I backup_data_changed: android
07-25 14:31:27.729   648   648 I backup_data_changed: com.android.dialer
07-25 14:31:27.729   648   648 I backup_data_changed: com.android.providers.settings
07-25 14:31:27.739   648   648 I am_create_service: [0,1099271464,.LocalTransportService,1000,648]
07-25 14:31:27.849   648   794 I backup_data_changed: com.android.providers.settings
07-25 14:31:27.889   648   648 I am_fork_process_time: [0,Fork .keyguard takes: 12ms]
07-25 14:31:27.889   648   648 I am_proc_start: [0,798,10017,com.android.systemui,service,com.android.keyguard/.KeyguardService]
07-25 14:31:27.919   648   702 I am_proc_bound: [0,798,com.android.systemui]
07-25 14:31:27.919   648   702 I am_create_service: [0,1099359040,.KeyguardService,10017,798]
