
============  19-07-25 14:30:26  ==============
07-25 14:30:27.749   223   501 D use-Rlog/RLOG-RILC_ATCI: > AT Command 'AT+VGR=6'. phoneId = 0.
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: Phoneserver get modem type ro.radio.modemtype's value
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: Current modem is l, sim num is 1
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: cmux_Init: mux device is /dev/stty_lte
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: CHNMNG: open mux: /dev/stty_lte0 fd=10
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: CHNMNG: open mux: /dev/stty_lte1 fd=11
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: CHNMNG: open mux: /dev/stty_lte2 fd=12
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: CHNMNG: open mux: /dev/stty_lte3 fd=13
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: CHNMNG: cmux_Init done
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: CHNMNG:/dev/ptmx opened rett=0 ptn=0
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: CHNMNG get pty OK mpty=14
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: CHNMNG:/dev/ptmx opened rett=0 ptn=1
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: CHNMNG get pty OK mpty=16
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: CHNMNG:/dev/ptmx opened rett=0 ptn=2
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: CHNMNG get pty OK mpty=18
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: CHNMNG:/dev/ptmx opened rett=0 ptn=3
07-25 14:30:29.509   604   604 D use-Rlog/RLOG-RIL-PHS: CHNMNG get pty OK mpty=20
07-25 14:30:29.519   604   610 D RIL-PHS : Rev TID [610]: mux = /dev/stty_lte2
07-25 14:30:29.519   604   611 D RIL-PHS : Rev TID [611]: mux = /dev/stty_lte3
07-25 14:30:29.519   604   607 D RIL-PHS : try to connect socket ext_data...
07-25 14:30:29.519   604   608 D RIL-PHS : Rev TID [608]: mux = /dev/stty_lte0
07-25 14:30:29.519   604   609 D RIL-PHS : Rev TID [609]: mux = /dev/stty_lte1
07-25 14:30:29.529   604   607 D RIL-PHS : connect to ext_data socket success!
07-25 14:30:29.529   605   605 I use-Rlog/RLOG-RILD: [
07-25 14:30:29.549   605   605 D use-Rlog/RLOG-RILD: [0] Rild: rilArgv[1]=-n,rilArgv[2]=0,ModemType=l
07-25 14:30:29.559   605   605 D use-Rlog/RLOG-RIL: [0] rild connect l modem, current is rild0
07-25 14:30:29.559   605   605 D use-Rlog/RLOG-RIL: [0] RIL enter single sim card mode!
07-25 14:30:29.559   605   605 D use-Rlog/RLOG-RIL: [0] ssda mode: fdd-csfb
07-25 14:30:29.559   605   605 D use-Rlog/RLOG-RIL: [0] getTestMode
07-25 14:30:29.559   605   605 D use-Rlog/RLOG-RIL: [0] getTestModeInner subscription = 0
07-25 14:30:29.559   605   605 D use-Rlog/RLOG-RIL: [0] getTestModeInner: 6
07-25 14:30:29.559   605   605 D use-Rlog/RLOG-RIL: [0] allow_data init 1!
07-25 14:30:29.559   605   605 D use-Rlog/RLOG-RILC: [0] sprd_libril Compile date:Nov  3 2018,00:18:43 
07-25 14:30:29.559   605   605 D use-Rlog/RLOG-RILC: [0] it's l modem rild0 libril
07-25 14:30:29.559   605   605 E use-Rlog/RLOG-RILC: [0] RIL_register: RIL version 11
07-25 14:30:29.559   605   605 I use-Rlog/RLOG-RILC: [0] Ril.cpp: 3 CommandThread create
07-25 14:30:29.559   605   605 D use-Rlog/RLOG-RILC: [0] create call dispatch thread
07-25 14:30:29.559   605   605 D use-Rlog/RLOG-RILC: [0] Start to listen oem_socket1
07-25 14:30:29.559   605   605 D RILD    : RIL_register_ATCIServer started
07-25 14:30:29.559   605   605 D use-Rlog/RLOG-RILC: [0] atci_socket1 created
07-25 14:30:29.559   605   605 D RIL_ATCI_SOCKET: Adding socket with id: 0
07-25 14:30:29.559   605   605 D RILD    : RIL_register_socket completed
07-25 14:30:29.559   605   605 D RILD    : RIL_Init starting sleep loop
07-25 14:30:29.559   605   618 I use-Rlog/RLOG-RIL: [0] sprd_reference ril Compile date:Nov  3 2018,00:17:55 
07-25 14:30:29.559   605   618 D use-Rlog/RLOG-RIL: [0] ttyName: /dev/CHNPTY0
07-25 14:30:29.559   605   618 I use-Rlog/RLOG-RIL: [0] AT channel [0] open successfully, ttyName:/dev/CHNPTY0
07-25 14:30:29.559   605   618 D use-Rlog/RLOG-RIL: [0] ttyName: /dev/CHNPTY1
07-25 14:30:29.559   605   618 I use-Rlog/RLOG-RIL: [0] AT channel [1] open successfully, ttyName:/dev/CHNPTY1
07-25 14:30:29.559   605   618 D use-Rlog/RLOG-RIL: [0] ttyName: /dev/CHNPTY2
07-25 14:30:29.559   605   618 I use-Rlog/RLOG-RIL: [0] AT channel [2] open successfully, ttyName:/dev/CHNPTY2
07-25 14:30:29.559   605   618 D use-Rlog/RLOG-RIL: [0] ttyName: /dev/CHNPTY3
07-25 14:30:29.559   605   618 I use-Rlog/RLOG-RIL: [0] AT channel [3] open successfully, ttyName:/dev/CHNPTY3
07-25 14:30:29.559   605   617 D use-Rlog/RLOG-RIL: [0] channel1 state: '0' 
07-25 14:30:29.559   605   617 D use-Rlog/RLOG-RIL: [0] get Channel ID '1'
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RESPONSE_RADIO_STATE_CHANGED  {RADIO_OFF}
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RESPONSE_SIM_STATUS_CHANGED 
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> ATE0Q0V1
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> ATS0=0
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMEE=1
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CREG=2
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CEREG=2
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CCED=1,8
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CCWA=1
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMOD=0
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMUT=0
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CSSN=1,1
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+COLP=0
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CSCS="HEX"
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CUSD=1
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
07-25 14:30:29.569   605   617 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CGEREP=1,0
07-25 14:30:29.569   604   609 D RIL-PHS : /dev/stty_lte1 Rev:OK
07-25 14:30:29.569   605   621 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
